nama|kota
Apotek 24 Hours Canggu Daily Pharmacy|BADUNG
Apotek Profira Sejahtera|SURABAYA
Apotek C I T R A|SURABAYA
Apotek Jasper|BEKASI
Apotek Tiga Lima|SURABAYA
Apotek Serasan Sekundang|MUARA ENIM
Apotek Patianrowo|NGANJUK
Apotek Defi Farma|SIGI
Apotek Tujuh Saudara|PEKALONGAN
Apotek Wahid Farma Jaya|KEDIRI
Apotek Griya Farma I|JAKARTA SELATAN
Apotek Astika Farma|TANGERANG
Apotek Intan Ortho Medika|GARUT
Apotek Rifqy Farma|TANAH BUMBU
Apotek Pasar Pagi Jaya (Ar)|JAKARTA BARAT
Apotek Husna Farma|SUKOHARJO
Apotek Maqaila|BANDA ACEH
Apotek Viva Generik Pandeyan|YOGYAKARTA
Apotek Generik 32 Cipete|TANGERANG
Apotek Century Puri Beta 2|TANGERANG
Apotek Bukit Permata Ciumbuleuit|BANDUNG
Apotek Mitrasana Cendrawasih|BEKASI
Apotek Chespan Farma|SORONG
Apotek Kopasfi|BANTUL
Apotek Surya Meditama|SURABAYA
Apotek Naila Farma|BIMA
Apotek Aisyiah|BANGKALAN
Apotek Galaxy Mall|SURABAYA
Apotek Nurul Hidayah Farma|HALMAHERA SELATAN
Apotek Telemedika Farma 6|JAKARTA PUSAT
Apotek Dwi Karya Farma|PALEMBANG
Apotek Sona Farma|INDRAMAYU
Apotek Smb|MALANG
Apotek Mitra Waluya|BANDUNG BARAT
Apotek Kimia Farma Grand Galaxy Ii|BEKASI
Apotek Salem|SURAKARTA
Apotek Wihdatul Ummah|MAKASSAR
Apotek Trunojoyo|SAMPANG
Apotek Galvin|JAYAPURA
Apotek Noval Farma|PANDEGLANG
Apotek Rosa Dua|BANDAR LAMPUNG
Apotek Rosita|TUBAN
Apotek Eka Sugihwaras|BOJONEGORO
Apotek Nyo|PASURUAN
Apotek Satria|MEDAN
Apotek Kita Farma 2|KAPUAS HULU
Apotek Sadewata|CIANJUR
Apotek R3Di|KUDUS
Apotek Sumber Anom Sambi|KEDIRI
Apotek Viva Generik Bluru Kidul|SIDOARJO
Apotek Kimia Farma 117 (Sipin)|JAMBI
Apotek Ifrs Juanda|KUNINGAN
Apotek Bali Organic|DENPASAR
Apotek K 24 Sriwijaya|SEMARANG
Apotek Rio|BANDUNG
Apotek An Nur Farma 2|TEGAL
Apotek Century The Park Solo|SUKOHARJO
Apotek Kimia Farma 200 Tohpati|DENPASAR
Apotek Kemang|BEKASI
Apotek Ikhwan|BANDUNG
Apotek A Noor Farma|MAGELANG
Apotek Generik Gudang Air|JAKARTA TIMUR
Apotek Mitrasana Sakura Regency|BEKASI
Apotek Natural Beauty|SURABAYA
Apotek Gilang Farma|SLEMAN
Apotek Ranggon Jaya Farma|KAMPAR
Apotek Ristia Medika|GARUT
Apotek K 24 Gubernur Suryo|GRESIK
Apotek K24 Capgawen|PEKALONGAN
Apotek Viva Generik Jati|KUDUS
Apotek Cahaya I|WONOSOBO
Apotek Guardian Hermes|MEDAN
Apotek Demangsari|KEBUMEN
Apotek Thole Farma|NGANJUK
Apotek Generik 40 Surya Dharma|TANGERANG
Apotek Trijaya Sudirman|MUARA ENIM
Apotek Yuwandi Farma|MALANG
"""Apotek Tri """"A"""" Farma"""|
Apotek Sulaiman|JAKARTA BARAT
Apotek Gloskin|JAKARTA SELATAN
Apotek Arma Farma|PAREPARE
Apotek Ilham|ACEH SINGKIL
Apotek Biltratama|PALEMBANG
Apotek Malabar|BANDUNG
Apotek Kimia Farma 37 Diponegoro|BANDA ACEH
Apotek Century Farma Benhil Raya|JAKARTA PUSAT
Apotek Generik Ciganjur|JAKARTA SELATAN
Apotek Palampang|PANGKAJENE DAN KEPULAUAN
Apotek Al  Hasanah|TASIKMALAYA
Apotek Gayatri Bringin Bendo|SIDOARJO
Apotek Yos|BATANG
Apotek Multatuli|LEBAK
Apotek Watsons St. Moritz|JAKARTA BARAT
Apotek Belia|PEKANBARU
Apotek K 24 Bangka Raya|JAKARTA SELATAN
Apotek Mahadhika Farma|JAKARTA TIMUR
Apotek Bukit Asri|BOGOR
Apotek Farras|BOYOLALI
Apotek Rame|JEPARA
Apotek Mojopahit|MALANG
Apotek Margomulyo|SLEMAN
Apotek Century Tamini Square|JAKARTA TIMUR
Apotek Deas Farma|BANDUNG
Apotek Fauziah Farma|WAKATOBI
Apotek Pertiwi|MEDAN
Apotek Surya Husada|SRAGEN
Apotek Gracia Farma|BANDUNG BARAT
Apotek Dargo|SEMARANG
Apotek Pelangi Kotabaru|PONTIANAK
Apotek Suryani|PEKANBARU
Apotek Gedoro|NGAWI
Apotek Kutisari|SURABAYA
Apotek K 24 Condongcatur|SLEMAN
Apotek Fikar Jaya|JAKARTA TIMUR
Apotek Sehat Ceria|JAKARTA PUSAT
Apotek Enam Sembilan|JAMBI
Apotek Graha Medika|MEDAN
Apotek Medika Mulia|BANDUNG
Apotek Batin Utama|OGAN KOMERING ULU TIMUR
Apotek Ainy Farma|PAMEKASAN
Apotek Medika Sari|PEKANBARU
Apotek Unggul Lestari|PURWOREJO
Apotek Sumber Rizki|BELITUNG
Apotek Paramedika|BANDUNG
Apotek Raniza Langgeng|BANDUNG
Apotek Dwi Shanti|DENPASAR
Apotek Jati Mas|PROBOLINGGO
Apotek Prima Jaya|JAKARTA PUSAT
Apotek Century Tangerang City|TANGERANG
Apotek Mitra Husada|BINTAN
Apotek Nafizah Farma|HALMAHERA SELATAN
Apotek Ananda Wijaya Farma|SURABAYA
Apotek Tribata|SURABAYA
Apotek Bukit Golf|JAKARTA UTARA
Apotek Mitra Diani|JAKARTA TIMUR
Apotek Asahan|ASAHAN
Apotek Juwita Farma|SAMARINDA
Apotek Buana Taksu|TABANAN
Apotek Sehat Prima|BOGOR
Apotek Adzmi Farma II|KUTAI TIMUR
Apotek Kasih Bunda|ACEH SELATAN
Apotek Adiba|PATI
Apotek Kereta Api|PEKANBARU
Apotek Rakyat Lutfi|JAKARTA PUSAT
Apotek Century Mangga Dua Square|JAKARTA UTARA
Apotek Etam|SAMARINDA
Apotek A Plus|MALANG
Apotek Putri Farma|LANGKAT
Apotek K24 Satelit Pucang Gading|DEMAK
Apotek RS. Rsal|SORONG
Apotek Farmindah 2|PALU
Apotek Rizkina Farma|SURABAYA
Apotek L'Mas|TARAKAN
Apotek Medic Centre|KARIMUN
Apotek Bentar 2|SIDOARJO
Apotek Pasir Putih|KAMPAR
Apotek Pakuan|BANDUNG
Apotek Jaya Pratama|ROKAN HULU
Apotek Dharma Dental Clinik (Ddc)|KARAWANG
Apotek Sentosa Medika|BEKASI
Apotek Nurfallah|TASIKMALAYA
Apotek Akbar|SIAK
Apotek Tetra Farma|SEMARANG
Apotek Bija Farma|BADUNG
Apotek A L I S A|SURABAYA
Apotek Guardiat Giant Bsd Tangerang|TANGERANG SELATAN
Apotek Rakyat|JAKARTA BARAT
Apotek Lio|MEDAN
Apotek Azka Farma|BEKASI
Apotek Amsal Farma|DELI SERDANG
Apotek Sasak Lemah|BANDUNG
Apotek Rahim Medika|JAKARTA UTARA
Apotek Taskiah Farma|POLEWALI MANDAR
Apotek Tohpati|MATARAM
Apotek Aneka Farma|JAKARTA BARAT
Apotek Viva Generik Randu Indah|SURABAYA
Apotek Bloran|SRAGEN
Apotek Din Ar|SEMARANG
Apotek G2 Farma|BANGKA TENGAH
Apotek Dean Tigano|PEKANBARU
Apotek Azizah Farma|SAROLANGUN
Apotek Anugerah II|DENPASAR
Apotek Ajwa Farma|BREBES
Apotek Sumber Rahayu|DENPASAR
Apotek Pelita Hidup|JAYAPURA
Apotek Sadangserang|BANDUNG
Apotek X Tretes|PASURUAN
Apotek Jalur Rejeki|TULUNGAGUNG
Apotek GIA Farma|MAKASSAR
Apotek Alda|MEDAN
Apotek A.N|JAKARTA UTARA
Apotek Medistira 2|BOGOR
Apotek Djohani Farma|MAKASSAR
Apotek Comel Bondowoso|BONDOWOSO
Apotek Wedung|DEMAK
Apotek Depo Farmasi Medikarya|JAKARTA UTARA
Apotek Tina Farma 2|SLEMAN
Apotek K 24 Karawitan|BANDUNG
Apotek Rakyat Indra|BEKASI
Apotek Fides Farma|SIDOARJO
Apotek Sekar Jaya Farma|INDRAMAYU
Apotek Pemogan|DENPASAR
Apotek Kimia Farma 68|BALIKPAPAN
Apotek Muria Husada|PATI
Apotek Betjik Djojo|SURABAYA
Apotek Cidi|DENPASAR
Apotek Selasih|SIAK
Apotek Bukit Duri|JAKARTA SELATAN
Apotek Generik Pagelarang Bantar Jati|JAKARTA TIMUR
Apotek Sabrina 1|JEMBER
Apotek Slamet Akbar|MADIUN
Apotek Generik Budaya Batu Ampar|JAKARTA TIMUR
Apotek Insan Farma Baru|DEPOK
Apotek Khotidjah 1 Mdj|BANJARNEGARA
Apotek Bugar|JAKARTA BARAT
Apotek Tidar Raya|MALANG
Apotek Syahfarma|KUNINGAN
Apotek Ibnu Saleh|MEDAN
Apotek Kalibogor|BANYUMAS
Apotek Adi Mas|SUKOHARJO
Apotek Dermix|JAKARTA TIMUR
Apotek Belitung Medical Centre|BELITUNG
Apotek Ergika|BUNGO
Apotek Ratna Cempaka|SIDOARJO
Apotek Siantan Jaya|PONTIANAK
Apotek Amud Farma|MUNA
Apotek Sembayat|GRESIK
Apotek Tjie Putra|SURABAYA
Apotek Dona Farma|PADANG
Apotek K U S U M A|SURABAYA
Apotek Bambu|LAMONGAN
Apotek Century Healthcare Beachwalk|BADUNG
Apotek Mustika 2|CILACAP
Apotek Tsaniya|BANJARNEGARA
Apotek Mutiara Rezeki|BANDUNG
Apotek Multi Sehat|TARAKAN
Apotek Arguni|MIMIKA
Apotek Sutomo|MEDAN
Apotek Pazaz|BADUNG
Apotek Sumber Terang|MANADO
Apotek Zafira Ruhama|TABALONG
Apotek Mandalika Baru|MATARAM
Apotek L 55|BANDUNG
Apotek Krajan|SURABAYA
Apotek Sangatta Farma|KUTAI TIMUR
Apotek Hesti Farma|POLEWALI MANDAR
Apotek Nusantara|MEDAN
Apotek Tambak Mas|SLEMAN
Apotek Anisa|PADANG
Apotek Guardiant Giant Spm Gkb|GRESIK
Apotek Surya Jaya Farma|MAKASSAR
Apotek  Tio Tao Farma|BENGKALIS
Apotek Century Kawasan|JAKARTA TIMUR
Apotek Kasih Bunda Reo|MANGGARAI
Apotek Hindro Farma|GROBOGAN
Apotek Mitra Sehat 2|BANDUNG
Apotek Calya Farma|NGAWI
Apotek Ar. Tiga Saudara|JAKARTA BARAT
Apotek Okta|SURABAYA
Apotek Sambi|BOYOLALI
Apotek Hasna Farma|CIREBON
Apotek Platuk|SURABAYA
Apotek Lintau|ROKAN HILIR
Apotek Gizi|PEKANBARU
Apotek Binangun|CILACAP
Apotek Hanna Farma|TANGERANG SELATAN
Apotek Kf Mayang|JAMBI
Apotek Kimia Farma 53|MALANG
Apotek Klinik Sentra Medika|INDRAMAYU
Apotek Ika Jaya|BANGKALAN
Apotek Mandiri Medika|BANDAR LAMPUNG
Apotek Sumber Anom Madiun|MADIUN
Apotek Natural Esthetic|MAKASSAR
Apotek Nayaka Farama|JAKARTA SELATAN
Apotek Raya Farma|PRINGSEWU
Apotek Bina Sejahtera Kesehatan|BANDUNG
Apotek Gaza|BANGKA
Apotek Citta Cily|DENPASAR
Apotek Aisha|BENGKULU
Apotek Nurzaitun|BANDUNG
Apotek Karisma Utama|JAKARTA SELATAN
Apotek Klinik Heri (Depo Farmasi Klinik Heri)|INDRAMAYU
Apotek Metik Sari Farma|DENPASAR
Apotek Ar. Lie|JAKARTA BARAT
Apotek Medicine Farma|BATAM
Apotek Ganjuran|BANTUL
Apotek Dermayu Farma|GORONTALO
Apotek New Ananda|TAPANULI TENGAH
Apotek Sahwa Farma|JEPARA
Apotek Binar|BANYUMAS
Apotek Ar Rahim|KENDAL
Apotek Edy|BEKASI
Apotek Musafir|GORONTALO
Apotek Falihah|MAMUJU
Apotek Aji Waras Fatmawati|JAKARTA SELATAN
Apotek Manakarra|MAMUJU
Apotek Deasy|DELI SERDANG
Apotek Guardian World Trade Center Ii|JAKARTA SELATAN
Apotek Arjasa V|KEDIRI
Apotek Budi Farrma|DEPOK
Apotek Karangasem 2|LAMONGAN
Apotek Jogo Sehat|WONOSOBO
Apotek Komunitas Sehat|BANDUNG
Apotek Amanah 24|BOYOLALI
Apotek Dewi Farma|SAROLANGUN
Apotek Rifqi Farma|ROKAN HILIR
Apotek Winda Farma|DAIRI
Apotek Medika Farma Bonza|BALIKPAPAN
Apotek Farmasiwi|BANTUL
Apotek Hpp 2|PANDEGLANG
Apotek Nabilah 2|PURWAKARTA
Apotek Cipatujah|TASIKMALAYA
Apotek Andhita Farma|PELALAWAN
Apotek Sito Farma|BELU
Apotek Century Pharma Pro Aktif|DEPOK
Apotek Varia|MEDAN
Apotek Paramedina Ngalian|SEMARANG
Apotek Chayara Farma|LAMPUNG SELATAN
Apotek Bimantara|WAJO
Apotek Century Beringin Raya|TANGERANG
Apotek Adecya Farma|ASAHAN
Apotek Kalijati|SUBANG
Apotek Giri Husada Iv|WONOGIRI
Apotek Surya Kemantren|SIDOARJO
Apotek M.S|GARUT
Apotek Alfa 99|SEMARANG
Apotek Al Kurba Nur|BANJARMASIN
Apotek Gandapura|BANDUNG
Apotek Sejahtera Farma II|MAKASSAR
Apotek As Syifa Farma Pgy|BREBES
Apotek INA 24|BADUNG
Apotek Singaraja|BULELENG
Apotek Pendowo|YOGYAKARTA
Apotek Persevera|JAKARTA PUSAT
Apotek Vivi Farma|BANDUNG
Apotek Dyafarma|MAGETAN
Apotek Bukit Mas|BEKASI
Apotek SOS Nusa Dua|BADUNG
Apotek Protera|JAKARTA UTARA
Apotek Hany Farma|SAMARINDA
Apotek Sari Mulya|PRINGSEWU
Apotek Tegowanu|GROBOGAN
Apotek Nuva Farma|PEKALONGAN
Apotek Cimone Baru|TANGERANG
Apotek Medicine Center|MIMIKA
Apotek Prima Bayah|LEBAK
Apotek Adiyatma|SIDOARJO
Apotek Dadi Sehat 2|KENDAL
Apotek Sehat Sentosa Farma|KEDIRI
Apotek Bambu Kuning|BANDAR LAMPUNG
Apotek Plumpang|JAKARTA UTARA
Apotek Kahayan Farma II|PULANG PISAU
Apotek Samudera Inalum|BATU BARA
Apotek Kariza Ayu|LAMONGAN
Apotek Kito|JAMBI
Apotek Janitra|LAMPUNG BARAT
Apotek Guardian F Ground Zero|BADUNG
Apotek Lutfia Farma|PEKANBARU
Apotek Ss Farma|JEPARA
Apotek Anye Medicare|INDRAGIRI HULU
Apotek Mirah Santini|MAJALENGKA
Apotek Vanda|BLITAR
Apotek Segar|SIBOLGA
Apotek Tlogosari|SEMARANG
Apotek Klayan Sehat|CIREBON
Apotek Sawunggaling|MALANG
Apotek Mentari Farma|BREBES
Apotek Sari Jaya|MEDAN
Apotek D H A R M A|SURABAYA
Apotek Cahaya Attariq|MAROS
Apotek Budi|ASAHAN
Apotek Alam|DELI SERDANG
Apotek Karangaji|JEPARA
Apotek Sabena|JAKARTA UTARA
Apotek Mlonggo Farma|JEPARA
Apotek Rapha|KARANGANYAR
Apotek Harapan Anda|TEGAL
Apotek Tara Farma|BOGOR
Apotek Cendrawasih Farma|SAMARINDA
Apotek Putra Sari|BREBES
Apotek Dahayu|SEMARANG
Apotek K 24 Majapahit|SEMARANG
Apotek Dewi Setya Farma|BOYOLALI
Apotek Era Baru|JAKARTA UTARA
Apotek Doonnoo|SURABAYA
Apotek Century Setrasari|BANDUNG
Apotek One Mei Farma|JEMBER
Apotek Signa|BEKASI
Apotek New Ganda Farma|DELI SERDANG
Apotek Safa|BANDAR LAMPUNG
Apotek Umiyati|MUNA
Apotek Trimedica Farma|SIDOARJO
Apotek Wardoyo|BOJONEGORO
Apotek A L I F|SURABAYA
Apotek Hasaini 2|BOYOLALI
Apotek Nasruhan|PONOROGO
Apotek Sifa Farma|PURBALINGGA
Apotek Century Intercon|JAKARTA BARAT
Apotek Kimia Farma 74|MANADO
Apotek Eferda Farma|KEDIRI
Apotek Gunung Batu|BOGOR
Apotek Pane Farma|ASAHAN
Apotek Darussalaam|TEGAL
Apotek Century Healthcare Paragon|SEMARANG
Apotek Sehat Semesta|TANGERANG
Apotek Retela|JAKARTA BARAT
Apotek Al Ilham Farma|PAREPARE
Apotek Aspotek Mulya Jaya|GRESIK
Apotek Alba Medika Ploso|SURABAYA
Apotek Tri Mitra Sukses Bersama|PALEMBANG
Apotek Siaga Farma 2|SURABAYA
Apotek Afrisa Farma|SIDOARJO
Apotek Fit Medika|CILEGON
Apotek Aldi|BANDAR LAMPUNG
Apotek X Mojosari|MOJOKERTO
Apotek Roxy Tpa|JAKARTA UTARA
Apotek Pinang|TANGERANG
Apotek Garsen|YOGYAKARTA
Apotek Krotek Farma Putri|INDRAMAYU
Apotek Oto Farma|BATAM
Apotek Ratu Adeline|INDRAMAYU
Apotek Sinar Santi|KLUNGKUNG
Apotek Apollo|BUKITTINGGI
Apotek Rakyat Firdaus|SORONG
Apotek Kurnia|DELI SERDANG
Apotek Generik Pondok Cipta|BEKASI
Apotek Watsons Margo City|DEPOK
Apotek Anggajaya|SLEMAN
Apotek Kenwaras|SEMARANG
Apotek Rakyat Syukur III|TUAL
Apotek Kebonsari|MALANG
Apotek Profesi Kurnia Farma|JAKARTA BARAT
Apotek Slamet|CIREBON
Apotek Zata Husada|GROBOGAN
Apotek Nasywa|BANJARMASIN
Apotek Generik 16 Beringin|TANGERANG
Apotek Watson Grage City|CIREBON
Apotek Viva Generik Surtikanti|SEMARANG
Apotek Noer Sejahtera|KENDAL
Apotek Kolaka|KOLAKA
Apotek Srengat|BLITAR
Apotek Malaka Klender|JAKARTA TIMUR
Apotek Eksotika|SEMARANG
Apotek Pio Farma|JAKARTA BARAT
Apotek Bandrek Mekar|GARUT
Apotek Mudal Farma|KLATEN
Apotek Generik Pondok Ranggon I|JAKARTA TIMUR
Apotek Bagas Farma|BOGOR
Apotek Horas Farma|KOLAKA
Apotek Ridho Utama|PRINGSEWU
Apotek Serayu Mandiri|SURABAYA
Apotek Banri Farma|MAKASSAR
Apotek Agung Mulia|MEDAN
Apotek Pusura I|SURABAYA
Apotek Yulianti Farma|SURABAYA
Apotek Duplomat|BEKASI
Apotek Affan Farma|SUKOHARJO
Apotek Kimia Farma 251|GORONTALO
Apotek Tjiiandjur|CIANJUR
Apotek Archa Medica|TANGERANG SELATAN
Apotek Wanayasa|TASIKMALAYA
Apotek Bisturi Farma|SURABAYA
Apotek K 24 Sultan Fatah|DEMAK
Apotek Zeta|BANDUNG
Apotek Mitra Mandiri|JAKARTA UTARA
Apotek Nana Medika|PONOROGO
Apotek 92|SEMARANG
Apotek Fia Farma|POLEWALI MANDAR
Apotek Dafi Farma|NGAWI
Apotek Century Kemang Farma|BEKASI
Apotek C A Y A|SURABAYA
Apotek Parta Farma|MATARAM
Apotek Fakhira I|BULUKUMBA
Apotek Gemilang Naufada|BEKASI
Apotek Milano|KUANTAN SINGINGI
Apotek Wisata|SURABAYA
Apotek Lumayan|TRENGGALEK
Apotek Tompokersan|LUMAJANG
Apotek Daerah|KENDAL
Apotek Ennata|KULON PROGO
Apotek Matea|SURAKARTA
Apotek Piramid Indah Mulia|GORONTALO
Apotek Mitra Ab|PEMALANG
Apotek Ghazi|BENGKULU SELATAN
Apotek Tarakan|BANDUNG
Apotek Kampak Farma|TRENGGALEK
Apotek Vindi Farma|BANYUMAS
Apotek Cinta Kasih|BELITUNG TIMUR
Apotek Rmdc|SURABAYA
Apotek Empati|SEMARANG
Apotek Wahyu|MEDAN
Apotek Koperlin|MATARAM
Apotek Century Botania|BATAM
Apotek Melfa Farma|BENGKULU UTARA
Apotek Al Hanif|SEMARANG
Apotek Sanjaya|BANDUNG
Apotek Dasyat Farma|JAYAPURA
Apotek Lingga Husada|BALIKPAPAN
Apotek Lamgabe|DELI SERDANG
Apotek Medexpress|JAKARTA BARAT
Apotek Depo Farmasi Ananda|JAKARTA BARAT
Apotek Hijrah|TANGERANG
Apotek Kimia Farma Legian|BADUNG
Apotek Mahakam|JAKARTA SELATAN
Apotek Zahira|PEKANBARU
Apotek Amalia Farma|OGAN KOMERING ILIR
Apotek Efina|GRESIK
Apotek Century Mutiara|JAKARTA SELATAN
Apotek Siluk farma|BANTUL
Apotek Rauh|KLUNGKUNG
Apotek Muhtazhar|BANGKALAN
Apotek Vinaya Farma|SURABAYA
Apotek Ida|DEPOK
Apotek Kimia Farma Banjaran|TEGAL
Apotek Merifa|PEKANBARU
Apotek Arya|BENGKULU UTARA
Apotek Rakha Sehat|BOYOLALI
Apotek Kimia Farma 219|TANGERANG SELATAN
Apotek Farmarindo|BANYUMAS
Apotek 4 Kids|SEMARANG
Apotek Tafara Farma|SIDOARJO
Apotek Laguna Sehat|JAKARTA UTARA
Apotek Rakyat Chaerum Jaya|BULUKUMBA
Apotek An Nur Farma|MOJOKERTO
Apotek Semesta Wolter Monginsidi|SEMARANG
Apotek Jayamahe|BADUNG
Apotek Palang|TUBAN
Apotek Shifa|CIANJUR
Apotek Generik Centex|JAKARTA TIMUR
Apotek Century Pharma Kayu Manis|JAKARTA TIMUR
Apotek Kimia Farma 32|PONTIANAK
Apotek Subur Raya Farma|JAKARTA SELATAN
Apotek Sumber Baru|PROBOLINGGO
Apotek Sendang Farma|SLEMAN
Apotek Kurnia 2|KARAWANG
Apotek Deli Tajur|BOGOR
Apotek Cihampelas|BANDUNG
Apotek Prima Anugerah|SURABAYA
Apotek Jati Husada|BEKASI
Apotek Al Halim|PALEMBANG
Apotek Empang|BOGOR
Apotek Sebantengan|SEMARANG
Apotek Adhyaksa Farma|KOLAKA UTARA
Apotek S T E V E N|SURABAYA
Apotek Kf Condet|JAKARTA TIMUR
Apotek Semesta 20 Jombang|JEMBER
Apotek Madina Sentul|BOGOR
Apotek Yunan|GORONTALO
Apotek Sejahtera Bersama|JAMBI
Apotek Geby Jaya|GORONTALO
Apotek Bugar Dot Com|PASURUAN
Apotek Ngesrep|SEMARANG
Apotek Nur Farma|MALANG
Apotek Darma Pharma|DEPOK
Apotek Gafari|KUNINGAN
Apotek Halisa Farma|MAKASSAR
Apotek Barsah|BEKASI
Apotek Mk 7 Sukolilo|SURABAYA
Apotek Satiti Ariaputra|TANGERANG SELATAN
Apotek Ibu|KAMPAR
Apotek Sari Asih|BANDUNG
Apotek Budiyah|BOGOR
Apotek L I B R A|SURABAYA
Apotek Generik Wisma Asri 2|BEKASI
Apotek Cipayung|JAKARTA TIMUR
Apotek Aji Waras Cilandak|JAKARTA SELATAN
Apotek Pahlawan Baru|BANYUMAS
Apotek Rakyat Sejati Jaya|TUAL
Apotek Ar Razaaaq|KENDARI
Apotek Guardian Giant Kenten|PALEMBANG
Apotek Dahlan|BANDUNG
Apotek Mutiara 1|DEPOK
Apotek Century Lebak Bulus|JAKARTA SELATAN
Apotek Ranggeh|PASURUAN
Apotek Isfi|KAMPAR
Apotek Megaria Farma 2|JAKARTA PUSAT
Apotek Singkawang|SINGKAWANG
Apotek Resmi Nikimura|BOGOR
Apotek Sehat Bersama 3|PALEMBANG
Apotek Mashab|JEMBRANA
Apotek Sejati Farma|BUKITTINGGI
Apotek Donohudan|BOYOLALI
Apotek AZ  Zahra|ROKAN HULU
Apotek Auditia|SELUMA
Apotek Nindi Adira|OGAN KOMERING ILIR
Apotek Anna Medika|BREBES
Apotek Polaris|MADIUN
Apotek Sinar Jaya Farma|BANDUNG
Apotek Mirah Medika|MAJALENGKA
Apotek Pd Kab.Kudus Cab.Kaliwungu|KUDUS
Apotek Safiina|REMBANG
Apotek Arlia Multi Guna (Ar)|JAKARTA BARAT
Apotek Geo Farma|LAMPUNG SELATAN
Apotek Hati Suci|KUPANG
Apotek Madura Sehat|LUMAJANG
Apotek Habibie|BANJARMASIN
Apotek Gynaeca|MEDAN
Apotek Centra Medika|TANGERANG
Apotek Omera Farma|BREBES
Apotek Century M. Ramdhan (Superindo)|BANDUNG
Apotek Halu Farma|LUWU TIMUR
Apotek Century Briliyan Plaza|KENDARI
Apotek Bethek Karma|MALANG
Apotek Intan Family|PALEMBANG
Apotek Bertuah|PEKANBARU
Apotek Pradhana|SURABAYA
Apotek Salam|BANDUNG
Apotek Bsc Farmasia|GRESIK
Apotek Puluhwatu|KLATEN
Apotek Medisal 24Jam|JAKARTA TIMUR
Apotek Century Blok M Square|JAKARTA SELATAN
Apotek Argosari|MADIUN
Apotek Meta Medika|SAMARINDA
Apotek Keyla Medika|PRINGSEWU
Apotek Sami Waras|KLATEN
Apotek Gm Karangmangu|CILACAP
Apotek Adibah Farma|BREBES
Apotek Dia|PEKANBARU
Apotek Tirta Farma|BLITAR
Apotek Setia Kawan|MEDAN
Apotek Irma 03|LUWU
Apotek Reski Farma|ROKAN HULU
Apotek Milana Farma|GORONTALO
Apotek Afdhal|TANGERANG
Apotek Sehat Anugerah|MAGETAN
Apotek Mira Farma|MANGGARAI
Apotek Berma Farma|MEDAN
Apotek Pananjung|SUKABUMI
Apotek Adikarsa Ii|LOMBOK TENGAH
Apotek Pemuda Cepu|BLORA
Apotek Adni Farma|LOMBOK TENGAH
Apotek Labunti Farma|MUNA
Apotek Mufid|GRESIK
Apotek J B|PALEMBANG
Apotek Aisa Farma|GORONTALO
Apotek Sehat Babarkat|JAKARTA UTARA
Apotek Hong Farma|BANYUWANGI
Apotek Hasdha|PACITAN
Apotek Han'S|SUBANG
Apotek Kalaserena Farma|GOWA
Apotek Karya Utama|BENGKULU SELATAN
Apotek Walagri|BANDUNG BARAT
Apotek Al Fata|ACEH BARAT DAYA
Apotek Makmur Jaya|PELALAWAN
Apotek Sambirejo Sehat|NGAWI
Apotek Viva Generik Airlangga|MOJOKERTO
Apotek Diva Sejahtera|BLITAR
Apotek Century Plaza Surabaya|SURABAYA
Apotek Dewa Dewi|BANYUWANGI
Apotek Kimia Farma Pancaran Kasih|MANADO
Apotek Guardian Pluit Sakti|JAKARTA UTARA
Apotek Aveno Farma|MANGGARAI TIMUR
Apotek Generik Kelapa Hijau|JAKARTA SELATAN
Apotek Faiz Farma|KARAWANG
Apotek Nusa Farma|MEDAN
Apotek Bulusaraung|MAKASSAR
Apotek Sakti|BANDA ACEH
Apotek Raka Farma|NATUNA
Apotek Century Bekasi Trade Center City|BEKASI
Apotek Vitasari Farma|AMBON
Apotek Rakyat Koko|TEBO
Apotek Pandean|PRABUMULIH
Apotek Bina Medika|BANDUNG
Apotek Akumari Farma|SEMARANG
Apotek Husada I|SINTANG
Apotek Buana Medika|DENPASAR
Apotek Kimia Farma Pasar Baru|TANGERANG
Apotek Bintara|MAGETAN
Apotek Sahabat Galenika I|BEKASI
Apotek Ana Febrina|TANGERANG SELATAN
Apotek Muwardi|JAKARTA BARAT
Apotek Risa Farma|SAMARINDA
Apotek Bohar Farma|SIDOARJO
Apotek K 24 Jati|SIDOARJO
Apotek Y.P|KEDIRI
Apotek Rakyat Dua Saudara|AMBON
Apotek Kimia Farma No. 5|JAKARTA PUSAT
Apotek Pagelaran|TULANGBAWANG
Apotek Tugu Farma Sawangan|DEPOK
Apotek Rs. Harapan Jayakarta/Inst.Far|
Apotek Djawa Farma|SURABAYA
Apotek Insani Farma|TANGERANG
Apotek Kimia Farma 402 Lamprit|BANDA ACEH
Apotek Generik Rajawali|BEKASI
Apotek Kimia Farma 273 (Helma)|SAMARINDA
Apotek Belladona Farma|JAKARTA SELATAN
Apotek Fasa|JAMBI
Apotek Yasni|BANDAR LAMPUNG
Apotek A'Tiga Farma|MAKASSAR
Apotek Kimia Farma Kampungkali|SEMARANG
Apotek R I A|SURABAYA
Apotek Putri Airlangga|SURABAYA
Apotek Rita|PADANG
Apotek Ngasem|KARANGANYAR
Apotek Erha 21 Metropolitan Mall|BEKASI
